taxpayer_pin,taxpayer_name,department,division,station_name,obligation_name,year,total_advance_tax_paid,total_turnover,is_nil_return,variance,estimate
P051121737K,Poverelle Sisters Of Bergamo In Kenya,MST,Compliance,West of Nairobi,Income Tax - Company,2023,8640,2,N,8638,777.42
P051209858Q,Mara River Water Users Association,MST,Compliance,NAKURU,Income Tax - Company,2016,2400,1,N,2399,215.91
P051340829V,Olympic Imports Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2022,12000,0,N,12000,1080
P000606225Q,Mirage Lite Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2018,2400,1,N,2399,215.91
P051409284Q,Bellamy Trading Company Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2020,28740,10,N,28730,2154.75
P051332769H,Engineering And Hydraulics East Africa Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2018,2400,0,N,2400,216
P051141126D,LIVING FAITH INTERNATIONAL,MST,Compliance,West of Nairobi,Income Tax - Company,2020,28560,2,N,28558,2141.85
P051153948Z,MOLO MOUNT MINERAL WATER LIMITED,MST,Compliance,NAKURU,Income Tax - Company,2017,2400,0,N,2400,216
P051358674T,Mukhtan Investments,MST,Compliance,Mombasa North,Income Tax - Partnership,2017,6000,0,N,6000,540
P000608999V,KALI SECURITY COMPANY LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2018,2400,0,N,2400,216
P051644344F,Glorious Gate Ministries,MST,Compliance,East of Nairobi,Income Tax - Company,2017,10080,1,N,10079,907.11
P051224374B,Workmen Security Services Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2017,2400,0.01,N,2399.99,215.9991
P051128994Q,Tea Vac Machinery,MST,Compliance,East of Nairobi,Income Tax - Company,2021,4275,0,N,4275,384.75
P051530494H,RENCY HOLDINGS LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2018,7800,1,N,7799,701.91
P051687693F,CAR HUB KENYA LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2022,7200,1,N,7199,647.91
P051467350J,A-list Travel Solutions Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2016,20160,0,N,20160,1814.4
P051762941I,LEYMA CARGO SERVICES LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2019,20700,1,N,20699,1862.91
P051501869G,Buscar Ea Limited,MST,Compliance,Malindi,Income Tax - Company,2015,135360,1,N,135359,12182.31
P051650671G,Samatar Logistics Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2023,84000,0.01,N,83999.99,7559.9991
P051857495G,Tigerspeed Logistics Freight Solutions Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2021,46800,1,N,46799,4211.91
P051376054H,JAIKING IMPORT EXPORT COMPANY,MST,Compliance,North of Nairobi,Income Tax - Company,2021,5685,0,N,5685,511.65
P051666080Q,Royal Swiss Bakery Limited,LMT,Compliance,MTO,Income Tax - Company,2022,4800,0,N,4800,432
P051804696W,METAL TIN CONTAINERS LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2019,1245,1,N,1244,111.96
P051113464S,LIKI RIVER FARM LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2015,507825,0,N,507825,45704.25
P000594118O,International Society For Krishna Consciousness,MST,Compliance,North of Nairobi,Income Tax - Company,2019,5280,1,N,5279,475.11
P051327318Y,Prokon Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2018,24900,50,N,24850,2236.5
P051231165Q,BEST DEALS HARDWARE AND CONTRACTORS LIMITED,MST,Compliance,South of Nairobi,Income Tax - Company,2024,6000,0,N,6000,540
P051179137E,Elinah Investments Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2019,7650,0,N,7650,688.5
P051215954G,Damwaka Transporters Company Limited,MST,Compliance,Thika,Income Tax - Company,2021,4050,0,N,4050,364.5
P051372595L,Rexe Roofing Products Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2023,13800,1,N,13799,1241.91
P051907015E,Plumbing Plus International Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2020,6000,0,N,6000,450
